img_path,img_w,img_h,xc/img_w,yc/img_h,w/img_w,h/img_h,classe
./imgs/img_00000.jpg,180,238,0.0,0.0,0.0,0.0,vazio
./imgs/img_00001.jpg,199,215,0.0,0.0,0.0,0.0,vazio
./imgs/img_00002.jpg,239,177,0.39748953974895396,0.576271186440678,0.14225941422594143,0.21468926553672316,triangulo
./imgs/img_00003.jpg,159,171,0.449685534591195,0.6783625730994152,0.1949685534591195,0.29239766081871343,circulo
./imgs/img_00004.jpg,180,191,0.6138888888888889,0.3010471204188482,0.20555555555555555,0.193717277486911,triangulo
./imgs/img_00005.jpg,179,216,0.0,0.0,0.0,0.0,vazio
./imgs/img_00006.jpg,188,189,0.4308510638297872,0.5793650793650794,0.26595744680851063,0.2698412698412698,circulo
./imgs/img_00007.jpg,200,189,0.8075,0.5767195767195767,0.175,0.2857142857142857,triangulo
./imgs/img_00008.jpg,164,172,0.0,0.0,0.0,0.0,vazio
./imgs/img_00009.jpg,167,161,0.0,0.0,0.0,0.0,vazio
./imgs/img_00010.jpg,178,234,0.47752808988764045,0.7008547008547008,0.25842696629213485,0.18803418803418803,circulo
./imgs/img_00011.jpg,180,209,0.6916666666666667,0.6220095693779905,0.3277777777777778,0.18181818181818182,circulo
./imgs/img_00012.jpg,214,171,0.7429906542056075,0.5467836257309941,0.21495327102803738,0.21637426900584794,circulo
./imgs/img_00013.jpg,165,153,0.34545454545454546,0.28104575163398693,0.30303030303030304,0.32679738562091504,circulo
./imgs/img_00014.jpg,209,210,0.0,0.0,0.0,0.0,vazio
./imgs/img_00015.jpg,164,214,0.0,0.0,0.0,0.0,vazio
./imgs/img_00016.jpg,181,246,0.0,0.0,0.0,0.0,vazio
./imgs/img_00017.jpg,152,229,0.7138157894736842,0.44759825327510916,0.20394736842105263,0.21397379912663755,circulo
./imgs/img_00018.jpg,227,228,0.6916299559471366,0.46271929824561403,0.23788546255506607,0.15350877192982457,circulo
./imgs/img_00019.jpg,241,214,0.49377593360995853,0.5,0.14107883817427386,0.1588785046728972,circulo
./imgs/img_00020.jpg,184,187,0.5380434782608695,0.8074866310160428,0.1956521739130435,0.18181818181818182,triangulo
./imgs/img_00021.jpg,177,188,0.0,0.0,0.0,0.0,vazio
./imgs/img_00022.jpg,177,162,0.3446327683615819,0.3055555555555556,0.22598870056497175,0.35185185185185186,triangulo
./imgs/img_00023.jpg,235,187,0.0,0.0,0.0,0.0,vazio
./imgs/img_00024.jpg,194,159,0.33505154639175255,0.36477987421383645,0.28865979381443296,0.22641509433962265,triangulo
./imgs/img_00025.jpg,167,166,0.0,0.0,0.0,0.0,vazio
./imgs/img_00026.jpg,230,207,0.5413043478260869,0.5193236714975845,0.2565217391304348,0.28502415458937197,circulo
./imgs/img_00027.jpg,179,152,0.0,0.0,0.0,0.0,vazio
./imgs/img_00028.jpg,244,195,0.2766393442622951,0.27692307692307694,0.15163934426229508,0.20512820512820512,triangulo
./imgs/img_00029.jpg,235,183,0.0,0.0,0.0,0.0,vazio
./imgs/img_00030.jpg,219,240,0.0,0.0,0.0,0.0,vazio
./imgs/img_00031.jpg,242,213,0.7107438016528925,0.39436619718309857,0.2396694214876033,0.26291079812206575,circulo
./imgs/img_00032.jpg,170,156,0.17352941176470588,0.5384615384615384,0.19411764705882353,0.2948717948717949,circulo
./imgs/img_00033.jpg,207,219,0.6956521739130435,0.8401826484018264,0.28019323671497587,0.1917808219178082,triangulo
./imgs/img_00034.jpg,248,177,0.0,0.0,0.0,0.0,vazio
./imgs/img_00035.jpg,226,157,0.6061946902654868,0.6624203821656051,0.20353982300884957,0.21656050955414013,triangulo
./imgs/img_00036.jpg,208,168,0.8629807692307693,0.2619047619047619,0.1778846153846154,0.19047619047619047,triangulo
./imgs/img_00037.jpg,160,189,0.0,0.0,0.0,0.0,vazio
./imgs/img_00038.jpg,156,184,0.7403846153846154,0.7853260869565217,0.33974358974358976,0.16847826086956522,triangulo
./imgs/img_00039.jpg,153,166,0.0,0.0,0.0,0.0,vazio
./imgs/img_00040.jpg,222,218,0.34234234234234234,0.7729357798165137,0.18018018018018017,0.17889908256880735,triangulo
./imgs/img_00041.jpg,174,161,0.23850574712643677,0.4720496894409938,0.3390804597701149,0.2111801242236025,circulo
./imgs/img_00042.jpg,225,209,0.7288888888888889,0.3253588516746411,0.18666666666666668,0.2679425837320574,circulo
./imgs/img_00043.jpg,242,177,0.42355371900826444,0.711864406779661,0.17768595041322313,0.3389830508474576,triangulo
./imgs/img_00044.jpg,177,175,0.307909604519774,0.8257142857142857,0.24293785310734464,0.17714285714285713,triangulo
./imgs/img_00045.jpg,237,187,0.5569620253164557,0.2807486631016043,0.23628691983122363,0.2727272727272727,circulo
./imgs/img_00046.jpg,185,197,0.5540540540540541,0.434010152284264,0.2756756756756757,0.2182741116751269,circulo
./imgs/img_00047.jpg,247,165,0.6255060728744939,0.2909090909090909,0.23076923076923078,0.2545454545454545,triangulo
./imgs/img_00048.jpg,194,191,0.4845360824742268,0.3507853403141361,0.2268041237113402,0.2931937172774869,circulo
./imgs/img_00049.jpg,195,242,0.8358974358974359,0.18388429752066116,0.2153846153846154,0.23553719008264462,circulo
./imgs/img_00050.jpg,150,174,0.0,0.0,0.0,0.0,vazio
./imgs/img_00051.jpg,231,206,0.6320346320346321,0.7402912621359223,0.2597402597402597,0.25728155339805825,circulo
./imgs/img_00052.jpg,211,190,0.6137440758293838,0.33157894736842103,0.26066350710900477,0.29473684210526313,triangulo
./imgs/img_00053.jpg,238,217,0.0,0.0,0.0,0.0,vazio
./imgs/img_00054.jpg,163,152,0.656441717791411,0.7039473684210527,0.22085889570552147,0.2894736842105263,circulo
./imgs/img_00055.jpg,181,190,0.4143646408839779,0.7921052631578948,0.16574585635359115,0.23684210526315788,circulo
./imgs/img_00056.jpg,207,151,0.0,0.0,0.0,0.0,vazio
./imgs/img_00057.jpg,206,172,0.47815533980582525,0.627906976744186,0.16019417475728157,0.27906976744186046,circulo
./imgs/img_00058.jpg,235,177,0.1829787234042553,0.768361581920904,0.24680851063829787,0.3163841807909605,circulo
./imgs/img_00059.jpg,154,229,0.0,0.0,0.0,0.0,vazio
./imgs/img_00060.jpg,162,177,0.19135802469135801,0.20056497175141244,0.25925925925925924,0.20903954802259886,triangulo
./imgs/img_00061.jpg,152,211,0.28618421052631576,0.471563981042654,0.20394736842105263,0.26066350710900477,triangulo
./imgs/img_00062.jpg,198,248,0.7323232323232324,0.46169354838709675,0.21212121212121213,0.18951612903225806,circulo
